NOM,Evictions_RCLALQ_2023,Evictions_Media_Count,Airbnb_Count,Airbnb_Median_Price,Augmentation_Loyer_16_21,Augmentation_Valeur_16_21,Delta_Ratio_Loyer_Revenu,Ratio_Loyer_Revenu_2021,pct_locataires_2021,pct_loc_30plus_2021,revenu_median_2021,faible_revenu_pct_2021,Permis_Renovation,pct_immigrants_rec_2021,densite_2021,croissance_pop_16_21,age_moyen_2021,loyer_median_2021,loyer_median_2016,valeur_logement_2021,valeur_logement_2016,Augmentation_Revenu_16_21,Delta_Pct_Locataires,Delta_Faible_Revenu
LaSalle,13.0,6.0,73.0,108.0,0.122573226002841,0.4056565534769971,-0.1627769192500565,32.27552674230146,63.47791431535687,23.95263157894737,32473.68421052632,15.86315789473684,0.0,5.450483399194993,5793.936842105263,0.0700297971451992,42.21578947368421,873.421052631579,778.0526315789474,584111.1111111111,415543.2631578947,0.1282347606021153,1.6979144632341416,-4.02105263157895
Villeray-Saint-Michel-Parc-Extension,215.0,9.0,216.0,112.5,0.1404805914972272,0.4035009506522564,-1.3754789989506264,32.21167536782155,71.63773270556449,23.334146341463416,30834.146341463416,19.670731707317078,0.0,5.616750819253542,12060.771428571428,0.0085990559807581,38.607317073170734,827.6829268292682,725.7317073170732,549780.487804878,391720.7804878049,0.1891805452997644,0.0019042809946938,-6.76341463414634
Rosemont-La Petite-Patrie,591.0,6.0,494.0,124.0,0.1498246525522794,0.4057348141359696,-0.8153442452592756,26.81560015145778,68.2895672451349,27.26341463414634,38648.78048780488,15.797560975609755,0.0,4.074215530271786,10773.547619047618,0.0159252095422308,40.207317073170735,863.6585365853658,751.1219512195122,566048.7804878049,402671.0975609756,0.1847857538597502,-0.990843084638172,-4.7560975609756095
Le Plateau-Mont-Royal,391.0,6.0,1437.0,170.0,0.1642406769331739,0.3910155952768736,0.6770469801566676,35.20614294152392,70.29697256987568,34.40425531914894,36021.27659574468,19.76170212765957,933.0,5.930907149934944,14334.95625,0.0174326923076923,37.62978723404255,1056.8085106382978,907.7234042553192,588489.3617021276,423064.5319148936,0.141851242344943,-0.413571828395888,-4.351063829787233
Côte-des-Neiges-Notre-Dame-de-Grâce,190.0,3.0,541.0,114.0,0.1363278667883786,0.354237298261612,-0.6144691521921928,35.014548981571295,71.04326238364285,31.42105263157895,32557.894736842107,19.707894736842103,0.0,8.568669390472218,10163.382051282051,0.0150220729963315,39.84736842105264,950.0,836.0263157894736,697921.052631579,515360.9736842105,0.1562692466212396,0.2699986596162205,-6.60526315789474
Verdun,85.0,4.0,102.0,94.0,0.2843775497803933,0.6469057895376242,0.9752746214097918,30.30992455020313,64.10772922892542,27.73333333333333,41023.80952380953,14.757142857142856,0.0,4.884905026219687,9188.777272727271,0.3249430502475667,41.24285714285715,1036.190476190476,806.7647058823529,585809.5238095238,355703.1176470588,0.2430504647678733,-2.608460134484176,-6.031092436974788
Le Sud-Ouest,95.0,3.0,510.0,144.0,0.1608387942332896,0.4411342148541634,-0.8760648933825905,29.649185449676413,67.50284188960804,23.476,35848.0,19.556,677.0,4.2509059323489415,8246.978571428572,0.0819183375772543,38.988,885.72,763.0,532400.0,369431.24,0.1951388972236558,0.7607143747033973,-7.772000000000006
Mercier-Hochelaga-Maisonneuve,204.0,7.0,368.0,105.5,0.1302414231257942,0.3502792348060413,-1.6459333412880994,27.927786499215067,66.69731839309068,22.4925,35035.0,16.6225,0.0,4.065348846420695,7740.9853658536595,0.1629562858702304,40.4525,815.375,721.4166666666666,440950.0,326562.0833333333,0.1968525755019387,-1.3502143332505625,-6.305277777777778
Saint-Léonard,10.0,0.0,34.0,102.5,0.085124837370671,0.2816542423495234,-2.136523483869041,33.987710219922384,63.1742216348484,20.425,30920.0,14.61,0.0,5.539155217495089,6855.410000000001,0.0151969861439243,42.075,875.75,807.05,684300.0,533919.35,0.1533375731793062,0.5076528550200052,-5.960000000000001
Montréal-Nord,135.0,1.0,16.0,128.0,0.1010061919504643,0.2560926823857566,-2.726863922202241,34.07185628742515,71.69345736741589,24.02777777777778,27833.33333333333,20.14444444444445,257.0,4.98139562776641,8815.633333333333,0.0503003537763848,40.894444444444446,790.2777777777778,717.7777777777778,419000.0,333574.1111111111,0.1891227312321542,0.119274133250343,-7.877777777777776
Rivière-des-Prairies-Pointe-aux-Trembles,66.0,2.0,28.0,121.0,0.1158736551406708,0.2548448318704907,-0.6817661186584054,26.931265910668824,35.61480126562855,22.717391304347824,37573.91304347826,9.678260869565218,0.0,1.6948013876201948,3738.2782608695647,0.0112232183843437,42.79130434782609,843.2608695652174,755.695652173913,373913.04347826086,297975.52173913043,0.1441220432150333,1.966134972970444,-2.3652173913043466
Ahuntsic-Cartierville,217.0,6.0,147.0,111.0,0.1955612420648588,0.3551028667170488,0.7172973283078257,28.318601262748903,60.54175596969055,24.70344827586207,35500.0,15.97,0.0,6.646508250049197,6692.693333333334,0.0081269321017542,42.016666666666666,837.7586206896551,700.7241379310345,609655.1724137932,449895.8620689655,0.1652782179562639,1.90285517133308,-4.9886206896551695
Ville-Marie,94.0,8.0,2611.0,145.0,0.1868351231838281,0.3329499869668982,1.3994262295816071,41.10472578763128,72.6040559629444,35.99523809523809,32647.61904761905,26.745238095238093,627.0,7.065663789002736,11369.797674418603,0.1768980598856117,40.142857142857146,1118.309523809524,942.2619047619048,507902.4390243903,381036.38095238095,0.1464288640555421,1.3081800710562137,-6.86904761904762
