"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9","COL10","COL11","COL12","COL13","COL14","COL15","COL16","COL17","COL18","COL19","COL20","COL21","COL22","COL23","COL24","COL25","COL26","COL27","COL28","COL29","COL30","COL31","COL32","COL33"
"4620691.00","462","Montréal","0691.00",6115.00,-2.50,2195.40,41.20,64.90,16.90,75.00,320.00,0.00,2.50,38000.00,34000.00,8.50,6.00,18.40,45.00,0.00,5875.00,165.00,55.00,50.00,1895.00,575.00,325.00,8.40,28.70,765.00,820.00,120.00,260000.00
"4620692.01","462","Montréal","0692.01",7142.00,2.10,1310.90,37.80,63.60,13.10,140.00,445.00,0.00,2.70,48400.00,42000.00,4.20,3.70,8.40,15.00,10.00,6650.00,410.00,80.00,130.00,2170.00,445.00,280.00,9.00,17.80,930.00,920.00,75.00,348000.00
"4620692.02","462","Montréal","0692.02",2279.00,-0.50,39.00,43.20,61.00,21.10,45.00,125.00,0.00,2.40,39600.00,34800.00,9.00,6.70,14.80,10.00,0.00,2220.00,70.00,0.00,25.00,780.00,190.00,120.00,10.50,21.10,800.00,830.00,40.00,300000.00
"4620693.00","462","Montréal","0693.00",5329.00,1.50,2645.70,48.60,55.10,31.70,235.00,1285.00,5.00,2.00,35200.00,31400.00,13.80,10.00,22.60,35.00,0.00,4845.00,155.00,35.00,55.00,1110.00,1455.00,595.00,13.10,30.80,780.00,862.00,170.00,300000.00
"4620694.01","462","Montréal","0694.01",4904.00,12.70,204.70,33.60,60.80,10.40,45.00,120.00,0.00,3.00,46000.00,40400.00,5.20,3.50,14.80,85.00,10.00,4235.00,500.00,95.00,150.00,1415.00,190.00,145.00,8.60,7.90,1080.00,1040.00,45.00,318000.00
"4620694.02","462","Montréal","0694.02",3788.00,6.90,429.30,36.70,66.70,10.00,25.00,15.00,0.00,2.70,48000.00,41600.00,4.20,3.30,12.00,0.00,0.00,3715.00,180.00,20.00,65.00,1320.00,125.00,120.00,7.60,20.80,970.00,1040.00,35.00,300000.00
"4620700.01","462","Montréal","0700.01",5078.00,7.20,3824.10,44.20,61.60,23.40,465.00,1430.00,0.00,2.00,34000.00,30600.00,15.40,11.60,23.40,25.00,15.00,4560.00,230.00,15.00,80.00,905.00,1560.00,580.00,13.90,29.20,900.00,946.00,205.00,300000.00
"4620700.03","462","Montréal","0700.03",2854.00,2.30,1852.00,44.40,58.50,25.00,60.00,510.00,0.00,2.30,34000.00,30600.00,13.20,9.60,24.00,90.00,80.00,2435.00,385.00,55.00,145.00,690.00,575.00,230.00,10.80,27.40,810.00,804.00,95.00,324000.00
"4620700.04","462","Montréal","0700.04",4479.00,-1.00,2885.20,44.90,62.80,23.40,155.00,1425.00,0.00,2.00,37200.00,33200.00,12.20,10.20,18.00,40.00,25.00,4070.00,420.00,60.00,120.00,1135.00,1170.00,400.00,12.30,22.30,820.00,854.00,125.00,324000.00
"4620701.01","462","Montréal","0701.01",3374.00,0.60,1949.30,37.60,67.60,11.00,65.00,470.00,0.00,2.40,48800.00,42400.00,6.90,5.40,15.60,45.00,0.00,2760.00,500.00,75.00,100.00,1115.00,260.00,200.00,12.10,23.50,980.00,1010.00,45.00,310000.00
"4620701.02","462","Montréal","0701.02",6785.00,8.00,2576.60,41.50,65.00,17.40,145.00,865.00,0.00,2.30,41600.00,36400.00,8.50,6.50,16.20,150.00,35.00,5795.00,950.00,180.00,275.00,2075.00,805.00,435.00,10.40,26.70,890.00,954.00,165.00,320000.00
"4620702.01","462","Montréal","0702.01",2672.00,5.00,1323.80,43.70,59.60,23.40,0.00,160.00,0.00,2.60,54800.00,46000.00,3.40,2.90,5.20,0.00,15.00,2320.00,270.00,55.00,70.00,970.00,45.00,60.00,4.60,0.00,1300.00,1280.00,50.00,472000.00
"4620702.02","462","Montréal","0702.02",6830.00,0.30,1758.50,39.60,64.70,15.10,0.00,0.00,0.00,2.90,55200.00,46400.00,2.80,2.50,4.60,95.00,35.00,6030.00,825.00,95.00,185.00,2340.00,30.00,210.00,8.80,0.00,1000.00,1200.00,100.00,500000.00
"4620703.02","462","Montréal","0703.02",4045.00,6.60,936.90,46.00,57.90,26.30,30.00,380.00,0.00,2.50,49200.00,42000.00,7.00,4.90,12.40,30.00,20.00,3505.00,530.00,25.00,85.00,1305.00,325.00,220.00,8.00,35.90,880.00,1070.00,100.00,552000.00
"4620703.03","462","Montréal","0703.03",4487.00,0.70,1440.50,42.20,65.20,17.90,15.00,240.00,0.00,2.70,47600.00,40800.00,5.20,3.70,10.80,25.00,25.00,3790.00,655.00,35.00,145.00,1455.00,210.00,200.00,10.30,23.80,1000.00,1070.00,45.00,576000.00
"4620703.04","462","Montréal","0703.04",5558.00,-2.60,1709.10,41.20,63.70,17.00,25.00,50.00,0.00,2.80,51600.00,43600.00,3.40,3.20,4.60,35.00,20.00,4880.00,645.00,50.00,130.00,1870.00,90.00,200.00,9.40,22.20,950.00,960.00,105.00,552000.00
"4620704.01","462","Montréal","0704.01",4968.00,5.30,2818.90,41.20,67.30,17.10,30.00,1515.00,0.00,2.00,36800.00,32800.00,12.00,9.30,20.40,65.00,95.00,4240.00,640.00,65.00,140.00,1030.00,1385.00,435.00,11.70,22.80,810.00,844.00,190.00,324000.00
"4620704.04","462","Montréal","0704.04",4299.00,-3.80,2395.70,40.90,66.30,15.90,10.00,190.00,0.00,2.60,44800.00,39200.00,3.20,2.50,6.20,35.00,10.00,3680.00,530.00,100.00,90.00,1515.00,165.00,160.00,7.30,27.30,880.00,950.00,60.00,376000.00
"4620704.05","462","Montréal","0704.05",5965.00,-4.40,1221.90,40.70,69.20,13.80,25.00,510.00,0.00,2.60,46800.00,40000.00,5.30,4.30,9.20,75.00,10.00,5310.00,650.00,90.00,180.00,1825.00,485.00,265.00,9.60,18.80,880.00,912.00,75.00,400000.00
"4620704.06","462","Montréal","0704.06",2076.00,15.60,932.60,42.30,68.00,16.40,30.00,70.00,70.00,2.50,44000.00,38400.00,6.80,3.40,24.00,30.00,0.00,1825.00,285.00,110.00,30.00,685.00,140.00,115.00,13.90,13.80,850.00,940.00,25.00,460000.00
"4620704.08","462","Montréal","0704.08",5252.00,2.00,361.30,29.20,57.80,7.00,50.00,530.00,0.00,3.50,38000.00,34800.00,8.20,8.30,15.60,55.00,10.00,4385.00,695.00,50.00,340.00,935.00,485.00,180.00,11.80,14.60,930.00,1020.00,60.00,400000.00
"4620704.09","462","Montréal","0704.09",5748.00,27.30,2324.20,44.60,63.70,21.80,10.00,1630.00,0.00,2.10,44800.00,38800.00,7.60,6.00,12.40,90.00,40.00,5365.00,505.00,90.00,115.00,1375.00,1395.00,740.00,8.40,45.10,1380.00,1428.00,100.00,400000.00
"4620705.01","462","Montréal","0705.01",3338.00,-0.90,2109.90,42.10,60.30,20.80,5.00,0.00,0.00,2.70,55600.00,46400.00,2.90,2.20,3.60,0.00,0.00,3130.00,165.00,50.00,15.00,1225.00,15.00,75.00,5.80,,,,25.00,448000.00
"4620705.02","462","Montréal","0705.02",5003.00,-4.00,2617.90,49.60,56.60,32.10,55.00,1505.00,0.00,2.00,39200.00,34800.00,10.70,7.60,18.20,30.00,30.00,4180.00,365.00,20.00,85.00,1015.00,1300.00,475.00,15.20,24.60,870.00,903.00,110.00,348000.00
"4620706.00","462","Montréal","0706.00",3756.00,-2.10,2748.40,45.20,67.00,22.70,230.00,1470.00,300.00,1.70,33600.00,30600.00,17.00,13.20,28.80,70.00,10.00,3280.00,425.00,70.00,105.00,705.00,1525.00,570.00,17.70,29.30,820.00,879.00,140.00,250000.00
"4620707.00","462","Montréal","0707.00",5530.00,18.80,2972.20,52.10,54.90,36.70,500.00,1135.00,345.00,1.80,33200.00,30200.00,17.60,15.40,23.60,45.00,65.00,4060.00,315.00,45.00,75.00,790.00,1760.00,705.00,13.30,34.10,850.00,978.00,225.00,296000.00
"4620708.01","462","Montréal","0708.01",4630.00,-2.00,3826.80,39.10,69.50,13.90,105.00,1480.00,0.00,2.10,36000.00,32400.00,11.50,9.20,20.40,75.00,15.00,4150.00,425.00,70.00,125.00,840.00,1440.00,390.00,10.70,20.90,860.00,901.00,140.00,320000.00
"4620708.02","462","Montréal","0708.02",4276.00,2.10,2759.40,48.60,58.80,30.10,15.00,1115.00,195.00,2.00,40400.00,35600.00,8.70,7.90,11.00,30.00,30.00,3915.00,275.00,15.00,40.00,1325.00,740.00,370.00,12.00,28.40,860.00,930.00,55.00,348000.00
"4620709.01","462","Montréal","0709.01",9706.00,15.20,2625.70,43.70,61.40,22.40,245.00,1530.00,45.00,2.40,44800.00,38800.00,5.80,4.50,10.10,145.00,35.00,8085.00,1130.00,175.00,275.00,2845.00,1080.00,695.00,12.30,31.50,1160.00,1180.00,85.00,348000.00
"4620709.02","462","Montréal","0709.02",6406.00,1.40,2686.70,39.70,67.00,15.10,220.00,810.00,0.00,2.40,42000.00,36800.00,6.80,5.30,13.40,105.00,10.00,5635.00,755.00,115.00,165.00,1780.00,885.00,325.00,7.30,22.90,900.00,954.00,110.00,376000.00
"4620710.03","462","Montréal","0710.03",8619.00,-1.70,2789.00,38.70,67.70,12.60,510.00,480.00,0.00,2.60,44400.00,39200.00,5.10,3.70,11.80,120.00,15.00,7555.00,980.00,105.00,200.00,2590.00,720.00,305.00,7.10,16.80,930.00,944.00,130.00,352000.00
"4620710.05","462","Montréal","0710.05",9560.00,28.00,297.10,38.00,66.80,11.80,95.00,555.00,0.00,3.00,54800.00,46400.00,3.40,3.30,4.60,120.00,20.00,8360.00,1165.00,105.00,235.00,2720.00,520.00,465.00,10.90,33.00,1680.00,1470.00,85.00,600000.00
