"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9","COL10","COL11","COL12","COL13","COL14","COL15","COL16","COL17","COL18","COL19","COL20","COL21","COL22","COL23","COL24","COL25","COL26","COL27","COL28","COL29","COL30","COL31","COL32","COL33","COL34","COL35","COL36","COL37","COL38","COL39"
"4620104.00","462","Montréal","0104.00",1170.00,380.00,205.00,30.70,873.00,896.00,23.70,800801.00,795.00,375.00,11.30,160.00,72448.00,90.00,113920.00,90027.00,11.30,9.50,51744.00,43376.00,2821.00,2.50,1129.00,7427.60,40.70,64.50,17.20,240.00,100.00,2.50,90.00,60.00,2105.00,730.00,85.00,140.00
"4620105.00","462","Montréal","0105.00",1500.00,750.00,385.00,34.00,1019.00,1176.00,0.00,499900.00,755.00,755.00,16.80,205.00,68352.00,190.00,78592.00,65472.00,13.10,13.20,44416.00,37824.00,3342.00,0.40,1550.00,11018.80,40.20,66.30,15.90,465.00,110.00,2.20,160.00,155.00,2145.00,945.00,50.00,145.00
"4620106.00","462","Montréal","0106.00",900.00,520.00,320.00,48.60,878.00,1005.00,0.00,501583.00,375.00,520.00,17.30,65.00,64384.00,90.00,61269.00,51712.00,18.70,19.20,36800.00,31712.00,2114.00,3.80,912.00,8901.10,44.10,64.10,22.50,225.00,295.00,2.10,140.00,65.00,1185.00,575.00,50.00,85.00
"4620107.00","462","Montréal","0107.00",825.00,680.00,355.00,45.90,812.00,924.00,0.00,400461.00,155.00,675.00,29.00,115.00,47616.00,85.00,43840.00,39136.00,27.20,28.10,27008.00,25024.00,1544.00,6.10,801.00,9942.00,37.00,78.00,10.00,490.00,255.00,1.90,210.00,65.00,855.00,690.00,75.00,115.00
"4620108.00","462","Montréal","0108.00",1635.00,850.00,470.00,36.50,1024.00,1214.00,0.00,851225.00,790.00,850.00,20.40,155.00,60096.00,170.00,81280.00,67328.00,13.10,14.80,42960.00,36666.00,4107.00,-1.50,1629.00,7283.20,44.80,62.60,23.80,610.00,265.00,2.30,165.00,190.00,2490.00,995.00,45.00,170.00
"4620109.00","462","Montréal","0109.00",1075.00,845.00,390.00,36.50,970.00,1012.00,1.80,449384.00,230.00,850.00,34.80,155.00,47168.00,100.00,51872.00,45584.00,23.90,25.50,28960.00,26411.00,2120.00,2.20,1055.00,12709.80,38.60,74.50,13.40,600.00,80.00,2.00,140.00,165.00,1145.00,795.00,80.00,120.00
"4620110.00","462","Montréal","0110.00",1925.00,1710.00,715.00,38.80,817.00,861.00,4.40,434630.00,220.00,1705.00,25.00,190.00,50688.00,200.00,44048.00,39216.00,27.10,27.20,25338.00,24055.00,3836.00,2.30,1949.00,15612.50,36.50,76.00,9.10,1140.00,610.00,2.00,650.00,225.00,1870.00,1820.00,115.00,290.00
"4620111.00","462","Montréal","0111.00",2830.00,1815.00,985.00,36.00,866.00,887.00,11.90,481221.00,1020.00,1810.00,32.80,235.00,52224.00,360.00,49350.00,44960.00,21.90,21.60,25044.00,23808.00,6542.00,-3.00,2835.00,8723.80,40.70,66.90,16.80,830.00,510.00,2.30,395.00,270.00,3040.00,3165.00,325.00,645.00
"4620112.01","462","Montréal","0112.01",1790.00,1240.00,510.00,27.10,693.00,702.00,14.60,501181.00,550.00,1240.00,31.80,160.00,41664.00,260.00,47595.00,44774.00,26.50,25.40,21947.00,21139.00,5346.00,5.10,1753.00,8481.70,34.10,66.50,9.10,1530.00,70.00,3.00,500.00,240.00,2320.00,2860.00,320.00,635.00
"4620112.02","462","Montréal","0112.02",1875.00,1650.00,690.00,37.70,714.00,719.00,22.40,500906.00,230.00,1650.00,32.60,180.00,39648.00,220.00,33715.00,31632.00,33.60,28.00,20430.00,20072.00,4087.00,-4.60,1855.00,14791.90,41.40,66.00,18.60,1105.00,705.00,2.20,505.00,240.00,1145.00,2620.00,300.00,510.00
"4620113.00","462","Montréal","0113.00",2120.00,1630.00,710.00,34.70,812.00,888.00,4.60,500587.00,490.00,1625.00,29.60,220.00,45888.00,300.00,49728.00,44912.00,24.90,26.00,24282.00,22997.00,5099.00,-6.70,2143.00,10290.60,36.80,71.30,11.60,1465.00,15.00,2.40,765.00,300.00,2115.00,2730.00,265.00,495.00
"4620114.00","462","Montréal","0114.00",870.00,555.00,335.00,50.00,951.00,1079.00,0.00,849708.00,320.00,550.00,19.00,85.00,46720.00,95.00,62080.00,53760.00,23.90,27.70,29696.00,27520.00,1989.00,-2.10,874.00,7020.80,39.50,68.60,16.60,400.00,180.00,2.30,170.00,135.00,975.00,860.00,65.00,115.00
"4620115.01","462","Montréal","0115.01",865.00,490.00,270.00,39.80,926.00,1108.00,0.00,749727.00,375.00,485.00,20.00,165.00,51584.00,85.00,73984.00,59605.00,18.50,21.70,35296.00,30688.00,2005.00,-1.40,862.00,9155.30,40.10,68.60,17.00,360.00,0.00,2.30,220.00,170.00,910.00,875.00,45.00,110.00
"4620115.02","462","Montréal","0115.02",3405.00,3130.00,1600.00,47.70,1001.00,1054.00,1.60,219619.00,290.00,3130.00,37.90,365.00,48704.00,210.00,42055.00,37781.00,33.30,35.40,25728.00,24558.00,5866.00,-1.50,3421.00,13734.50,42.30,69.80,20.70,660.00,2740.00,1.70,1085.00,625.00,2220.00,2940.00,160.00,345.00
"4620116.00","462","Montréal","0116.00",2965.00,2585.00,1115.00,39.50,781.00,819.00,7.90,501413.00,390.00,2585.00,25.30,335.00,41408.00,285.00,39360.00,36186.00,33.80,34.30,21653.00,21094.00,6649.00,-2.50,2981.00,10366.40,39.10,69.20,16.70,2240.00,235.00,2.10,800.00,700.00,2330.00,3225.00,350.00,635.00
"4620117.00","462","Montréal","0117.00",1470.00,1325.00,435.00,30.00,741.00,792.00,4.20,491163.00,155.00,1325.00,25.80,145.00,41088.00,195.00,45216.00,43150.00,27.50,26.20,22112.00,21174.00,4359.00,-2.70,1506.00,16114.60,40.00,69.00,15.20,1205.00,270.00,2.70,710.00,325.00,1085.00,2560.00,210.00,530.00
"4620118.00","462","Montréal","0118.00",1600.00,1270.00,505.00,29.60,758.00,808.00,7.10,501398.00,335.00,1270.00,38.80,180.00,40832.00,230.00,47744.00,45040.00,26.40,26.10,22452.00,21349.00,4411.00,-0.90,1575.00,14519.40,36.10,70.60,10.10,1445.00,0.00,2.80,620.00,260.00,1675.00,2530.00,270.00,575.00
"4620119.00","462","Montréal","0119.00",2395.00,2115.00,705.00,28.90,668.00,693.00,13.00,449123.00,280.00,2115.00,33.90,305.00,37056.00,395.00,39696.00,37832.00,33.60,32.20,20040.00,19584.00,6337.00,-1.90,2393.00,11013.20,36.00,70.70,9.30,2230.00,115.00,2.60,945.00,350.00,1950.00,4030.00,515.00,1160.00
"4620120.01","462","Montréal","0120.01",2645.00,1445.00,1025.00,39.20,716.00,827.00,13.10,344196.00,1210.00,1445.00,38.20,140.00,46336.00,275.00,51740.00,46144.00,25.00,24.40,27954.00,25944.00,5690.00,62.60,2686.00,2160.10,35.60,76.40,8.20,900.00,1525.00,2.10,800.00,285.00,2090.00,3180.00,380.00,710.00
"4620120.02","462","Montréal","0120.02",450.00,60.00,105.00,58.30,1842.00,1628.00,0.00,450385.00,390.00,60.00,17.90,0.00,82432.00,30.00,95232.00,77056.00,9.70,10.10,46720.00,40149.00,1029.00,-4.60,450.00,5186.50,48.70,51.50,34.00,30.00,265.00,2.30,30.00,10.00,640.00,385.00,10.00,45.00
"4620121.00","462","Montréal","0121.00",705.00,300.00,175.00,41.70,1146.00,1294.00,0.00,699122.00,400.00,305.00,12.30,45.00,68480.00,85.00,86080.00,71488.00,15.50,15.00,42027.00,37248.00,1769.00,-3.30,689.00,4590.00,41.20,61.60,18.60,110.00,175.00,2.60,205.00,60.00,950.00,805.00,50.00,95.00
"4620122.00","462","Montréal","0122.00",2945.00,2805.00,1105.00,38.10,641.00,664.00,11.20,500805.00,140.00,2805.00,27.60,470.00,34389.00,390.00,31314.00,29976.00,41.00,40.50,18732.00,18575.00,6595.00,-3.80,2949.00,9900.90,37.10,71.00,11.10,2875.00,0.00,2.20,1135.00,400.00,1955.00,4065.00,625.00,1040.00
"4620123.00","462","Montréal","0123.00",3110.00,2805.00,1445.00,47.70,804.00,858.00,1.40,458866.00,325.00,2805.00,37.50,270.00,42112.00,260.00,35237.00,32849.00,37.10,38.60,21162.00,20732.00,6249.00,-1.90,3128.00,15226.60,35.30,76.00,10.40,2345.00,670.00,1.90,1190.00,770.00,2205.00,3075.00,200.00,535.00
"4620124.00","462","Montréal","0124.00",2590.00,2265.00,1105.00,43.70,724.00,775.00,4.20,473316.00,325.00,2265.00,35.40,340.00,39424.00,275.00,35781.00,33664.00,36.60,37.90,20501.00,20090.00,5729.00,-1.80,2592.00,15136.10,33.20,71.90,7.90,2060.00,470.00,2.20,1040.00,490.00,2270.00,2950.00,270.00,710.00
"4620125.00","462","Montréal","0125.00",2595.00,1410.00,880.00,43.60,970.00,1070.00,2.80,648214.00,1185.00,1410.00,22.80,210.00,48000.00,215.00,65510.00,56732.00,19.30,22.90,33004.00,29956.00,6272.00,-1.10,2617.00,13184.80,41.90,55.30,24.80,865.00,1530.00,2.40,640.00,325.00,3115.00,2750.00,150.00,340.00
"4620126.00","462","Montréal","0126.00",850.00,625.00,415.00,62.10,892.00,993.00,0.00,599068.00,230.00,625.00,12.80,90.00,86955.00,55.00,36326.00,34517.00,37.40,44.60,18534.00,18261.00,2536.00,20.40,897.00,3399.00,31.80,83.80,8.30,595.00,180.00,2.10,140.00,320.00,1115.00,445.00,20.00,70.00
